"x","celllabel","parent","parentlabel","Score"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/CL_0000000>","cell","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/CL_0000000>","""cell""@en","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/GO_0005623>","cell","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/GO_0005575>","cellular_component","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/CL_0002242>","nucleate cell","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/CL_0000542>","lymphocyte","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/CL_0002087>","nongranular leukocyte","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/CL_0001065>","innate lymphoid cell","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/CL_0001069>","group 2 innate lymphoid cell","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/CARO_0000003>","""anatomical structure""@en","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/BFO_0000004>","""independent continuant""@en","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/BFO_0000004>","ic","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/BFO_0000004>","IndependentContinuant","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/BFO_0000002>","""continuant""@en","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/BFO_0000002>","continuant","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/BFO_0000002>","Continuant","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/BFO_0000040>","""material entity""@en","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/BFO_0000040>","material","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/BFO_0000040>","MaterialEntity","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/CARO_0000006>","""material anatomical entity""@en","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/BFO_0000001>","entity","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/BFO_0000001>","Entity","2"
"<http://purl.obolibrary.org/obo/CL_0002089>","group 2 innate lymphoid cell, mouse","<http://purl.obolibrary.org/obo/BFO_0000001>","""entity""@en","2"
